Name,Country,Latitude,Longitude,Elevation,Type,Status,marker-symbol
Dar-Alages,Armenia,39.7,45.542,3329,Unknown,Holocene,vol-red
Dariganga Volc Field,Mongolia,45.33,114,1778,Cinder cone,Holocene,vol-red
"Darwin, Volcan",Ecuador,-0.18,-91.28,1330,Shield volcano,Holocene,vol-red
"Daun, Bukit",Indonesia,-3.38,102.37,2467,Stratovolcano,Fumarolic,vol-red
Davidof,United States,51.97,178.33,328,Stratovolcano,Holocene,vol-red
Davis Lake,United States,43.57,-121.82,2163,Volcanic field,Radiocarbon,vol-red
Dawson Strait Group,Papua New Guinea,-9.62,150.88,500,Volcanic field,Hydration Rind,vol-red
Deception Island,Antarctica,-62.97,-60.65,576,Caldera,Historical,vol-red
Demon,Russia,45.5,148.85,1205,Stratovolcano,Holocene,vol-red
Dempo,Indonesia,-4.03,103.13,3173,Stratovolcano,Historical,vol-red
